## These are comments,,,,,,,,,,,,,,
# Expecting the following format for each row,,,,,,,,,,,,,,
# Player,character,alt,character,alt,character,alt,character,alt,character,alt,character,alt,,
Travisty,Samus,5,Palutena,4,,,,,,,,,,
Treestack,Link,1,,,,,,,,,,,,
TrueDingus,Bayonetta,2,,,,,,,,,,,,
T-sizzle,Toon Link,7,,,,,,,,,,,,
TVenomoth,Mii Swordfighter,1,,,,,,,,,,,,
Ty,Pyra,4,,,,,,,,,,,,
TylerSCR,Duck Hunt,3,,,,,,,,,,,,
U M R,Mr. Game and Watch,8,,,,,,,,,,,,
Underdoc,Dr Mario,1,,,,,,,,,,,,
Vi,Link,8,Hero,1,,,,,,,,,,
Vital,Wario,3,,,,,,,,,,,,
vizio,Zelda,3,,,,,,,,,,,,
White Nova,Palutena,2,,,,,,,,,,,,
Willpower,ROB,2,,,,,,,,,,,,
WOA,Kirby,8,Byleth,6,,,,,,,,,,
Wolfen,BANJO & KAZOOIE,1,,,,,,,,,,,,
Woombo,Pikachu,6,CAPTAIN FALCON,3,,,,,,,,,,
Wouji,Lucas,1,Chrom,2,,,,,,,,,,
Xabieru,Little Mac,4,,,,,,,,,,,,
XLR8,Young Link,7,,,,,,,,,,,,
Xplosive Oaks,Little Mac,3,,,,,,,,,,,,
Xtorm,Snake,5,,,,,,,,,,,,
xXBig_Boner_Owner_39Xx,Min Min,3,,,,,,,,,,,,
yaboiloren,Donkey Kong,6,,,,,,,,,,,,
Yasuo,Terry,2,,,,,,,,,,,,
Yoy,Marth,5,,,,,,,,,,,,
Zaeniel,Samus,1,,,,,,,,,,,,
Zammo,Diddy Kong,7,Ness,8,Little Mac,6,,,,,,,,
Zariez,Ike,8,,,,,,,,,,,,
ZekromAmaterasu,Sonic,5,,,,,,,,,,,,
Zenteca,Zelda,7,,,,,,,,,,,,
Zetami,BOWSER JR (KOOPALINGS),3,,,,,,,,,,,,
ZeXa,Sonic,4,,,,,,,,,,,,
Ziggler,Samus,4,,,,,,,,,,,,
